date,day_of_week,day_of_week_num,week_of_year,month,season,is_weekend,public_holiday,festival_flag,weekly_market_day,vaccination_camp_flag,maternal_clinic_day,local_event_intensity,rainfall_mm,temperature_max_c,temperature_min_c,humidity_pct,outbreak_type,outbreak_severity_0_5,surveillance_alert,affected_villages,general_opd_arrivals,fever_infectious_arrivals,maternal_child_arrivals,trauma_emergency_arrivals,expected_admissions,total_patient_arrivals,patients_lag_1,patients_lag_2,patients_lag_7,rolling_mean_7,rolling_std_7,patients_lag_14,rolling_mean_14,emergency_scenario_type,emergency_scenario_severity_0_5,vector_borne_cases,respiratory_cases,gastrointestinal_cases,other_fever_cases,severe_respiratory_cases,pediatric_cases,antenatal_cases,obstetric_emergency_cases,immunization_visits,oxygen_support_cases,required_oxygen_cylinders,available_oxygen_cylinders,oxygen_shortage_units,oxygen_shortage_flag,total_general_beds,occupied_general_beds,expected_general_discharges,out_of_service_general_beds,available_general_beds,projected_general_occupancy,overflow_general_patients,required_general_beds,total_emergency_beds,occupied_emergency_beds,expected_emergency_discharges,out_of_service_emergency_beds,available_emergency_beds,projected_emergency_occupancy,overflow_emergency_patients,required_emergency_beds,total_isolation_beds,occupied_isolation_beds,expected_isolation_discharges,out_of_service_isolation_beds,available_isolation_beds,projected_isolation_occupancy,overflow_isolation_patients,required_isolation_beds,overflow_patients,opening_stock_iv_fluids,received_iv_fluids,used_iv_fluids,expired_iv_fluids,closing_stock_iv_fluids,required_iv_fluids,iv_fluids_shortage_units,iv_fluids_reorder_flag,opening_stock_ors,received_ors,used_ors,expired_ors,closing_stock_ors,required_ors,ors_shortage_units,ors_reorder_flag,opening_stock_diagnostic_test_kits,received_diagnostic_test_kits,used_diagnostic_test_kits,expired_diagnostic_test_kits,closing_stock_diagnostic_test_kits,required_diagnostic_test_kits,diagnostic_test_kits_shortage_units,diagnostic_test_kits_reorder_flag,opening_stock_antipyretics,received_antipyretics,used_antipyretics,expired_antipyretics,closing_stock_antipyretics,required_antipyretics,antipyretics_shortage_units,antipyretics_reorder_flag,opening_stock_ppe_kits,received_ppe_kits,used_ppe_kits,expired_ppe_kits,closing_stock_ppe_kits,required_ppe_kits,ppe_kits_shortage_units,ppe_kits_reorder_flag,minimum_obgyn_coverage,required_obgyn_duty_hours,obgyn_on_call_required,obgyn_shortage_flag,minimum_pediatrician_coverage,required_pediatrician_duty_hours,pediatrician_on_call_required,pediatrician_shortage_flag,required_general_doctors,required_physicians,required_emergency_doctors,required_pediatricians,required_obgyn_doctors,required_senior_nursing_officers,required_nursing_officers,required_anm_staff,required_lab_technicians,required_pharmacists,required_ambulance_crew,required_ambulances,available_ambulances,ambulance_shortage_units,ambulance_shortage_flag,resource_shortage_count,emergency_risk_level
2021-09-29,Wednesday,3,39,9,Monsoon,0,0,0,1,0,0,1,14.3,24.8,16.3,87.1,Dengue,4,1,5,100,72,3,13,11,188,182.0,177.0,185.0,173.43,9.3,200.0,173.43,None,0,44,9,7,12,1,1,2,0,0,2,4,5,0,0,28,14,3,1,13,14,0,14,10,8,2,2,0,10,2,10,28,22,8,0,6,22,0,22,2,110,0,26,0,84,26,0,0,314,250,14,1,299,14,0,0,280,280,39,0,241,39,0,0,336,0,66,1,269,66,0,0,360,0,15,0,345,15,0,0,2,8,0,0,1,8,0,0,3,2,2,1,1,3,7,1,2,2,1,1,2,0,0,1,Critical
2021-09-30,Thursday,4,39,9,Monsoon,0,0,0,0,0,1,0,16.7,26.6,20.6,82.1,Dengue,4,1,6,86,74,10,9,13,179,188.0,182.0,178.0,173.86,9.88,169.0,172.57,None,0,47,7,8,12,0,2,7,0,1,1,3,6,0,0,28,18,3,1,9,18,0,18,10,4,6,2,4,4,0,4,28,24,4,2,2,24,0,24,0,384,300,29,1,354,29,0,0,299,0,15,1,283,15,0,0,241,0,40,0,201,40,0,1,269,0,66,0,203,66,0,0,345,0,20,0,325,20,0,0,2,8,1,0,1,8,0,0,2,2,1,1,1,3,7,1,2,2,1,1,3,0,0,0,High
2021-10-01,Friday,5,39,10,Post_Monsoon,0,0,0,0,0,0,0,0.3,25.5,15.7,49.7,Dengue,4,1,5,91,60,6,7,10,164,179.0,188.0,172.0,174.0,9.94,167.0,173.29,None,0,37,6,6,11,1,4,2,0,0,2,4,7,0,0,28,18,3,0,10,18,0,18,10,4,2,2,4,4,0,4,28,24,5,2,2,24,0,24,0,354,0,23,1,330,23,0,0,283,0,11,1,271,11,0,0,201,0,33,0,168,33,0,0,203,0,55,0,148,55,0,0,325,0,18,0,307,18,0,0,2,8,0,0,1,8,1,0,2,2,1,1,1,3,7,1,2,2,1,1,4,0,0,0,High
2021-10-02,Saturday,6,39,10,Post_Monsoon,1,1,0,0,0,0,1,0.6,27.2,18.6,43.9,,0,0,0,72,17,5,13,8,107,164.0,179.0,159.0,172.86,10.55,164.0,173.07,None,0,7,2,6,2,0,3,0,1,1,1,3,4,0,0,28,14,6,0,14,14,0,14,10,3,2,2,5,3,0,3,28,27,2,0,1,27,0,27,0,330,0,14,1,315,14,0,0,271,0,7,1,263,7,0,0,168,0,11,0,157,11,0,0,848,700,19,2,827,19,0,0,307,0,11,0,296,11,0,0,2,12,1,0,1,8,0,0,2,1,2,1,1,2,7,1,1,1,1,1,2,0,0,0,Normal
2021-10-03,Sunday,7,39,10,Post_Monsoon,1,0,0,0,0,0,0,5.6,23.1,15.7,59.9,,0,0,0,69,18,6,11,7,104,107.0,164.0,161.0,165.43,25.46,161.0,169.0,None,0,4,6,5,3,0,3,1,0,2,1,3,8,0,0,28,13,4,1,14,13,0,13,10,4,0,1,5,4,0,4,28,24,6,1,3,24,0,24,0,315,0,13,1,301,13,0,0,263,0,6,1,256,6,0,0,157,0,11,0,146,11,0,0,827,0,20,2,805,20,0,0,296,0,9,0,287,9,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,7,1,1,1,1,1,2,0,0,0,Normal
2021-10-04,Monday,1,40,10,Post_Monsoon,0,0,0,0,0,0,0,0.8,25.5,15.9,50.3,,0,0,0,85,17,6,7,6,115,104.0,107.0,177.0,157.29,33.44,176.0,164.93,None,0,6,4,6,1,0,2,2,1,1,1,3,5,0,0,28,12,4,0,16,12,0,12,10,4,1,0,6,4,0,4,28,19,7,2,7,19,0,19,0,301,0,12,1,288,12,0,0,256,0,7,0,249,7,0,0,146,0,11,0,135,11,0,0,805,0,20,2,783,20,0,0,287,0,6,0,281,6,0,0,2,12,1,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,3,0,0,0,Normal
2021-10-05,Tuesday,2,40,10,Post_Monsoon,0,0,0,0,0,1,0,4.4,27.2,20.5,58.3,,0,0,0,86,22,9,7,8,124,115.0,104.0,182.0,148.43,35.21,177.0,160.57,None,0,8,5,5,4,0,5,2,1,1,1,3,4,0,0,28,14,3,1,13,14,0,14,10,5,1,0,5,5,0,5,28,18,2,2,8,18,0,18,0,288,0,14,1,273,14,0,0,249,0,7,0,242,7,0,0,135,0,14,0,121,14,0,0,783,0,24,2,757,24,0,0,281,0,4,0,277,4,0,0,2,12,1,0,1,8,1,0,2,1,1,1,1,2,7,1,1,1,1,1,4,0,0,0,Normal
2021-10-06,Wednesday,3,40,10,Post_Monsoon,0,0,0,1,0,0,1,4.1,27.4,16.4,56.4,,0,0,0,93,19,6,13,8,131,124.0,115.0,188.0,140.14,33.09,185.0,156.79,None,0,4,2,9,4,0,3,1,1,1,1,3,7,0,0,28,16,4,0,12,16,0,16,10,2,4,0,8,2,0,2,28,14,5,2,12,14,0,14,0,273,0,15,1,257,15,0,0,242,0,10,0,232,10,0,0,401,280,12,0,389,12,0,0,757,0,23,1,733,23,0,0,277,0,3,0,274,3,0,0,2,12,1,0,1,8,0,0,2,1,2,1,1,2,6,1,1,1,1,1,2,0,0,0,Normal
2021-10-07,Thursday,4,40,10,Post_Monsoon,0,0,0,0,1,1,0,0.8,28.3,15.5,48.8,,0,0,0,90,17,13,5,8,125,131.0,124.0,179.0,132.0,26.72,178.0,152.93,None,0,6,4,3,4,1,4,2,2,5,1,3,5,0,0,28,20,2,0,8,20,0,20,10,1,2,2,7,1,0,1,28,12,3,1,15,12,0,12,0,257,0,13,0,244,13,0,0,232,0,4,0,228,4,0,0,389,0,12,0,377,12,0,0,733,0,21,1,711,21,0,0,274,0,5,0,269,5,0,0,2,20,1,1,1,8,1,0,2,1,1,1,2,2,6,2,1,1,1,1,4,0,0,1,Watch
2021-10-08,Friday,5,40,10,Post_Monsoon,0,0,0,0,0,0,0,0.9,26.1,20.1,41.8,,0,0,0,82,11,4,8,5,105,125.0,131.0,164.0,124.29,18.59,172.0,149.14,None,0,3,4,2,2,0,2,2,0,0,1,3,7,0,0,28,17,6,0,11,17,0,17,10,2,0,1,7,2,0,2,28,12,1,0,16,12,0,12,0,244,0,8,0,236,8,0,0,228,0,3,0,225,3,0,0,377,0,9,0,368,9,0,0,711,0,15,1,695,15,0,0,269,0,4,0,265,4,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,4,0,0,0,Normal
2021-10-09,Saturday,6,40,10,Post_Monsoon,1,0,0,0,0,0,0,0.0,27.0,20.3,51.4,,0,0,0,68,18,4,13,8,103,105.0,125.0,107.0,115.86,10.12,159.0,144.36,None,0,2,7,6,3,0,1,1,0,2,1,3,8,0,0,28,19,3,0,9,19,0,19,10,2,1,1,7,2,0,2,28,10,4,2,16,10,0,10,0,236,0,14,0,222,14,0,0,225,0,7,0,218,7,0,0,368,0,10,0,358,10,0,0,695,0,20,1,674,20,0,0,265,0,8,0,257,8,0,0,2,8,0,0,1,8,0,0,2,1,2,1,1,2,6,1,1,1,1,1,3,0,0,0,Normal
2021-10-10,Sunday,7,40,10,Post_Monsoon,1,0,0,0,0,0,0,0.0,27.4,20.2,44.9,,0,0,0,69,10,6,12,8,97,103.0,105.0,104.0,115.29,10.7,161.0,140.36,None,0,3,1,3,3,0,3,1,1,1,1,3,7,0,0,28,22,5,0,6,22,0,22,10,1,1,2,7,1,0,1,28,8,2,2,18,8,0,8,0,222,0,12,0,210,12,0,0,218,0,4,0,214,4,0,0,358,0,8,0,350,8,0,0,674,0,14,1,659,14,0,0,257,0,0,0,257,0,0,0,2,12,1,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,4,0,0,0,Normal
2021-10-11,Monday,1,41,10,Post_Monsoon,0,0,0,0,0,0,0,0.7,26.8,17.5,45.7,,0,0,0,87,14,6,8,6,115,97.0,103.0,115.0,114.29,11.96,177.0,135.79,None,0,8,0,3,3,0,4,1,0,1,0,2,7,0,0,28,23,3,0,5,23,0,23,10,1,1,2,7,1,0,1,28,9,0,0,19,9,0,9,0,210,0,10,0,200,10,0,1,214,0,4,0,210,4,0,0,350,0,11,0,339,11,0,0,659,0,18,1,640,18,0,0,257,0,2,0,255,2,0,0,2,8,0,0,1,8,1,0,2,1,1,1,1,2,6,1,1,1,1,1,2,0,0,0,Normal
2021-10-12,Tuesday,2,41,10,Post_Monsoon,0,0,1,0,0,1,1,0.1,24.5,15.2,51.7,,0,0,0,91,13,12,13,9,129,115.0,97.0,124.0,114.29,11.96,182.0,131.36,None,0,6,2,2,3,1,3,6,0,3,1,3,6,0,0,28,24,4,1,3,24,0,24,10,2,1,0,8,2,0,2,28,10,1,1,17,10,0,10,0,200,0,13,0,187,13,0,0,210,0,3,0,207,3,0,0,339,0,10,0,329,10,0,0,640,0,18,1,621,18,0,0,255,0,6,0,249,6,0,0,2,8,1,0,1,8,0,0,2,1,2,1,1,2,7,2,1,1,1,1,4,0,0,0,Normal
2021-10-13,Wednesday,3,41,10,Post_Monsoon,0,0,0,1,0,0,1,1.3,29.4,20.1,43.5,,0,0,0,92,12,5,13,6,122,129.0,115.0,131.0,115.0,12.65,188.0,127.57,None,0,5,5,0,2,0,2,0,1,2,1,3,5,0,0,28,22,5,0,6,22,0,22,10,3,0,2,5,3,0,3,28,11,1,2,15,11,0,11,0,187,0,9,0,178,9,0,0,207,0,1,0,206,1,0,0,329,0,10,0,319,10,0,0,621,0,17,1,603,17,0,0,249,0,6,0,243,6,0,0,2,12,1,0,1,8,0,0,2,1,2,1,1,2,7,1,1,1,1,1,3,0,0,0,Normal
2021-10-14,Thursday,4,41,10,Post_Monsoon,0,0,1,0,0,1,1,0.0,24.4,16.6,53.4,,0,0,0,89,14,9,17,8,129,122.0,129.0,125.0,113.71,11.35,179.0,122.86,Road_Accident_Surge,2,2,5,4,3,0,4,3,1,1,1,3,7,0,0,28,20,5,1,7,20,0,20,10,2,3,1,7,2,0,2,28,8,6,0,20,8,0,8,0,178,0,13,0,165,13,0,0,206,0,5,0,201,5,0,0,319,0,10,0,309,10,0,0,603,0,18,1,584,18,0,0,243,0,8,0,235,8,0,0,2,12,1,0,1,8,1,0,2,1,3,1,1,2,6,1,1,1,2,3,4,0,0,0,Watch
2021-10-15,Friday,5,41,10,Post_Monsoon,0,0,1,0,0,0,2,0.0,26.6,18.3,53.0,,0,0,0,86,12,4,16,8,118,129.0,122.0,105.0,114.29,11.98,164.0,119.29,Road_Accident_Surge,2,2,4,1,5,0,2,1,0,1,1,3,5,0,0,28,14,8,1,13,14,0,14,10,5,1,2,3,5,0,5,28,7,3,2,19,7,0,7,0,165,0,12,0,153,12,0,0,201,0,2,0,199,2,0,0,309,0,9,0,300,9,0,0,584,0,16,1,567,16,0,0,235,0,6,0,229,6,0,0,2,8,0,0,1,8,0,0,2,1,3,1,1,2,6,1,1,1,2,3,3,0,0,0,Watch
2021-10-16,Saturday,6,41,10,Post_Monsoon,1,0,0,0,0,0,0,4.3,22.5,13.9,54.1,,0,0,0,68,19,5,11,7,103,118.0,129.0,103.0,116.14,11.39,107.0,116.0,None,0,2,7,4,6,0,3,2,0,0,1,3,8,0,0,28,14,4,2,12,14,0,14,10,5,1,2,3,5,0,5,28,7,2,1,20,7,0,7,0,453,300,12,1,440,12,0,0,199,0,6,0,193,6,0,0,300,0,10,0,290,10,0,0,567,0,21,1,545,21,0,0,229,0,8,0,221,8,0,1,2,8,0,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,3,0,0,0,Normal
2021-10-17,Sunday,7,41,10,Post_Monsoon,1,0,1,0,0,0,2,4.8,23.6,17.1,50.4,,0,0,0,69,14,4,23,9,110,103.0,118.0,97.0,116.14,11.39,104.0,115.71,Road_Accident_Surge,4,4,4,1,5,0,2,1,0,1,1,3,6,0,0,28,17,2,1,10,17,0,17,10,1,5,1,8,1,0,1,28,6,4,2,20,6,0,6,0,440,0,13,1,426,13,0,0,193,0,2,0,191,2,0,0,290,0,9,0,281,9,0,0,545,0,17,1,527,17,0,0,221,0,8,0,213,8,0,0,2,8,0,0,1,8,0,0,2,1,3,1,1,2,6,1,1,1,2,3,2,1,1,1,High
2021-10-18,Monday,1,42,10,Post_Monsoon,0,0,0,0,0,0,0,0.0,24.5,15.8,52.0,,0,0,0,87,14,5,7,6,113,110.0,103.0,115.0,118.0,8.91,115.0,116.14,None,0,5,2,6,1,1,2,2,0,1,1,3,6,0,0,28,14,8,0,14,14,0,14,10,1,0,2,7,1,0,1,28,6,1,1,21,6,0,6,0,426,0,11,1,414,11,0,0,191,0,7,0,184,7,0,0,281,0,10,0,271,10,0,0,527,0,18,1,508,18,0,0,213,0,4,0,209,4,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,5,1,1,1,1,1,3,0,0,0,Normal
2021-10-19,Tuesday,2,42,10,Post_Monsoon,0,0,1,0,0,1,1,0.0,25.4,18.8,47.1,,0,0,0,91,12,12,14,9,129,113.0,110.0,129.0,117.71,9.04,124.0,116.0,None,0,7,1,2,2,0,1,9,2,0,1,3,7,0,0,28,17,4,2,9,17,0,17,10,2,0,2,6,2,0,2,28,7,0,0,21,7,0,7,0,414,0,13,1,400,13,0,0,184,0,3,0,181,3,0,0,271,0,10,0,261,10,0,0,508,0,17,1,490,17,0,0,209,0,2,0,207,2,0,0,2,20,1,1,1,8,0,0,2,1,2,1,2,2,6,2,1,1,2,2,3,0,0,1,Watch
2021-10-20,Wednesday,3,42,10,Post_Monsoon,0,0,0,1,0,0,1,0.6,26.0,18.9,45.2,,0,0,0,94,13,5,15,7,127,129.0,113.0,122.0,117.71,9.04,131.0,116.36,None,0,2,4,2,5,0,5,0,0,0,1,3,4,0,0,28,17,3,1,10,17,0,17,10,3,0,1,6,3,0,3,28,7,3,2,19,7,0,7,0,400,0,11,1,388,11,0,0,181,0,3,0,178,3,0,0,261,0,10,0,251,10,0,0,490,0,18,1,471,18,0,0,207,0,8,0,199,8,0,0,2,8,0,0,1,8,1,0,2,1,2,1,1,2,6,1,1,1,2,2,3,0,0,0,Normal
2021-10-21,Thursday,4,42,10,Post_Monsoon,0,0,0,0,0,1,0,0.0,24.3,15.5,63.5,,0,0,0,81,14,10,8,7,113,127.0,129.0,129.0,118.43,9.53,125.0,116.07,None,0,5,7,2,0,3,4,4,1,1,3,5,6,0,0,28,20,1,1,7,20,0,20,10,2,3,2,6,2,0,2,28,5,3,1,22,5,0,5,0,388,0,11,1,376,11,0,0,178,0,3,0,175,3,0,0,251,0,10,0,241,10,0,0,471,0,18,1,452,18,0,0,199,0,8,0,191,8,0,0,2,12,1,0,1,8,1,0,2,1,1,1,1,2,6,1,1,1,1,1,2,0,0,0,Normal
2021-10-22,Friday,5,42,10,Post_Monsoon,0,0,0,0,0,0,0,2.2,25.5,17.8,55.3,,0,0,0,81,14,6,7,7,108,113.0,127.0,118.0,116.14,8.59,105.0,115.21,None,0,5,5,3,1,0,4,1,0,1,1,3,7,0,0,28,19,3,0,9,19,0,19,10,3,0,2,5,3,0,3,28,6,3,0,22,6,0,6,0,376,0,11,1,364,11,0,0,175,0,4,0,171,4,0,0,241,0,10,0,231,10,0,0,452,0,18,1,433,18,0,0,191,0,10,0,181,10,0,0,2,8,0,0,1,8,1,0,2,1,1,1,1,2,6,1,1,1,1,1,4,0,0,0,Normal
2021-10-23,Saturday,6,42,10,Post_Monsoon,1,0,1,0,0,0,3,3.7,24.0,15.8,53.8,,0,0,0,75,18,4,22,9,119,108.0,113.0,103.0,114.71,8.99,103.0,115.43,Road_Accident_Surge,3,5,7,4,2,0,2,0,0,2,2,4,7,0,0,28,19,4,1,8,19,0,19,10,4,1,1,5,4,0,4,28,8,1,0,20,8,0,8,0,364,0,15,1,348,15,0,0,171,0,5,0,166,5,0,0,231,0,11,0,220,11,0,0,433,0,20,1,412,20,0,0,581,400,10,1,570,10,0,0,2,8,0,0,1,8,0,0,2,1,3,1,1,2,6,1,1,1,2,3,4,0,0,0,Watch
2021-10-24,Sunday,7,42,10,Post_Monsoon,1,0,0,0,0,0,0,2.5,22.3,13.7,53.0,,0,0,0,67,17,4,10,6,98,119.0,108.0,110.0,117.0,7.65,97.0,116.57,None,0,6,8,3,0,1,2,1,0,1,2,4,5,0,0,28,18,4,2,8,18,0,18,10,2,2,4,4,2,0,2,28,11,0,1,16,11,0,11,0,348,0,11,1,336,11,0,0,166,0,4,0,162,4,0,0,220,0,10,0,210,10,0,0,412,0,19,1,392,19,0,1,570,0,11,1,558,11,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,3,0,0,0,Normal
2021-10-25,Monday,1,43,10,Post_Monsoon,0,0,1,0,0,0,1,0.0,25.4,20.3,54.5,,0,0,0,92,16,5,15,7,128,98.0,119.0,113.0,115.29,10.01,115.0,116.64,Road_Accident_Surge,2,5,2,6,3,0,3,1,1,0,1,3,4,0,0,28,21,2,2,5,21,0,21,10,1,2,2,7,1,0,1,28,7,5,2,19,7,0,7,0,336,0,13,1,322,13,0,0,162,0,7,0,155,7,0,0,210,0,11,0,199,11,0,1,392,0,20,1,371,20,0,0,558,0,3,1,554,3,0,0,2,12,1,0,1,8,0,0,2,1,3,1,1,2,6,1,1,1,2,3,3,0,0,0,Watch
2021-10-26,Tuesday,2,43,10,Post_Monsoon,0,0,0,0,0,1,0,0.0,26.0,19.4,50.9,,0,0,0,89,14,9,6,5,118,128.0,98.0,129.0,117.43,10.86,129.0,117.57,None,0,3,5,5,1,1,4,5,0,0,2,4,4,0,0,28,22,2,2,4,22,0,22,10,1,0,0,9,1,0,1,28,9,0,1,18,9,0,9,0,322,0,10,1,311,10,0,0,155,0,6,0,149,6,0,0,199,0,10,0,189,10,0,0,371,0,18,1,352,18,0,0,554,0,7,1,546,7,0,0,2,8,0,0,1,8,1,0,2,1,1,1,1,2,6,1,1,1,1,1,3,0,0,0,Normal
2021-10-27,Wednesday,3,43,10,Post_Monsoon,0,0,0,1,0,0,1,0.6,26.0,19.9,45.7,,0,0,0,96,10,4,9,4,119,118.0,128.0,127.0,115.86,9.82,122.0,116.79,None,0,4,2,3,1,0,3,0,0,1,1,3,8,0,0,28,21,4,1,6,21,0,21,10,1,0,2,7,1,0,1,28,9,1,0,19,9,0,9,0,311,0,7,1,303,7,0,0,149,0,4,0,145,4,0,0,189,0,9,0,180,9,0,0,352,0,16,1,335,16,0,0,546,0,3,1,542,3,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,2,0,0,0,Normal
2021-10-28,Thursday,4,43,10,Post_Monsoon,0,0,0,0,0,1,0,0.0,27.4,16.9,48.9,,0,0,0,82,14,10,6,7,112,119.0,118.0,113.0,114.71,8.88,129.0,116.57,None,0,4,5,3,2,1,4,3,1,2,2,4,5,0,0,28,17,9,0,11,17,0,17,10,1,1,1,8,1,0,1,28,9,1,3,16,9,0,9,0,303,0,11,1,291,11,0,0,145,0,4,0,141,4,0,0,180,0,10,0,170,10,0,0,335,0,18,1,316,18,0,0,542,0,5,1,536,5,0,0,2,12,1,0,1,8,1,0,2,1,1,1,1,2,6,1,1,1,1,1,2,0,0,0,Normal
2021-10-29,Friday,5,43,10,Post_Monsoon,0,0,1,0,0,0,3,0.0,22.6,14.0,59.5,,0,0,0,80,15,5,20,7,120,112.0,119.0,108.0,114.57,8.91,118.0,115.36,Road_Accident_Surge,3,5,6,2,2,0,1,3,0,1,2,4,4,0,0,28,18,4,0,10,18,0,18,10,1,0,0,9,1,0,1,28,9,2,1,18,9,0,9,0,291,0,11,1,279,11,0,0,141,0,3,0,138,3,0,0,170,0,10,0,160,10,0,0,1016,700,18,2,996,18,0,0,536,0,7,1,528,7,0,0,2,8,0,0,1,8,0,0,2,1,3,1,1,2,6,1,1,1,2,3,3,0,0,0,Watch
2021-10-30,Saturday,6,43,10,Post_Monsoon,1,0,1,0,0,0,2,0.0,24.0,14.2,54.1,,0,0,0,80,14,4,20,7,118,120.0,112.0,119.0,116.29,8.63,103.0,115.5,Road_Accident_Surge,3,3,7,3,1,2,2,2,0,0,3,5,6,0,0,28,15,5,1,12,15,0,15,10,5,0,1,4,5,0,5,28,7,3,2,19,7,0,7,0,279,0,11,1,267,11,0,0,138,0,4,0,134,4,0,0,160,0,10,0,150,10,0,0,996,0,18,2,976,18,0,0,528,0,7,1,520,7,0,0,2,8,0,0,1,8,0,0,2,1,3,1,1,2,6,1,1,1,2,3,3,0,0,0,Watch
2021-10-31,Sunday,7,43,10,Post_Monsoon,1,0,0,0,0,0,0,0.0,24.9,17.4,47.5,,0,0,0,70,13,6,11,7,100,118.0,120.0,98.0,116.14,8.59,110.0,116.57,None,0,2,5,5,1,1,3,2,1,0,2,4,8,0,0,28,18,4,2,8,18,0,18,10,3,2,0,7,3,0,3,28,7,0,0,21,7,0,7,0,267,0,12,1,254,12,0,0,134,0,6,0,128,6,0,1,430,280,8,0,422,8,0,0,976,0,16,2,958,16,0,0,520,0,3,1,516,3,0,0,2,12,1,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,3,0,0,0,Normal
2021-11-01,Monday,1,44,11,Post_Monsoon,0,0,0,0,0,0,0,0.0,24.2,18.2,55.8,,0,0,0,85,17,5,8,6,115,100.0,118.0,128.0,116.43,8.0,113.0,115.86,None,0,5,6,5,1,1,2,0,2,1,2,4,5,0,0,28,16,5,1,11,16,0,16,10,3,0,0,7,3,0,3,28,8,2,0,20,8,0,8,0,254,0,11,0,243,11,0,0,128,0,6,0,122,6,0,0,422,0,11,0,411,11,0,0,958,0,20,2,936,20,0,0,516,0,10,1,505,10,0,0,2,20,1,1,1,8,0,0,2,1,1,1,2,2,6,1,1,1,1,1,3,0,0,1,Watch
2021-11-02,Tuesday,2,44,11,Post_Monsoon,0,0,0,0,0,1,0,0.0,25.7,17.2,52.4,,0,0,0,87,15,10,10,8,122,115.0,100.0,118.0,114.57,6.46,129.0,116.0,None,0,7,6,1,1,0,2,5,0,3,1,3,4,0,0,28,15,4,0,13,15,0,15,10,6,0,0,4,6,0,6,28,8,2,2,18,8,0,8,0,243,0,12,0,231,12,0,0,122,0,2,0,120,2,0,0,411,0,11,0,400,11,0,0,936,0,19,2,915,19,0,0,505,0,7,0,498,7,0,0,2,8,1,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,2,0,0,0,Normal
2021-11-03,Wednesday,3,44,11,Post_Monsoon,0,0,0,1,0,0,1,0.1,24.0,15.7,54.1,,0,0,0,90,18,5,11,8,124,122.0,115.0,119.0,115.14,6.9,127.0,115.5,None,0,7,6,0,5,2,3,1,0,1,3,5,4,1,1,28,17,2,1,10,17,0,17,10,2,6,2,6,2,0,2,28,8,2,1,19,8,0,8,0,231,0,12,0,219,12,0,0,120,0,2,0,118,2,0,0,400,0,12,0,388,12,0,0,915,0,22,2,891,22,0,0,498,0,9,0,489,9,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,6,1,1,1,1,1,4,0,0,1,Watch
2021-11-04,Thursday,4,44,11,Post_Monsoon,0,0,1,0,0,1,2,0.0,26.3,17.9,56.6,,0,0,0,93,18,10,14,9,135,124.0,122.0,112.0,115.86,7.49,113.0,115.29,None,0,5,4,5,4,0,3,5,1,1,1,3,4,0,0,28,15,7,2,11,15,0,15,10,1,2,0,9,1,0,1,28,8,3,2,18,8,0,8,0,219,0,15,0,204,15,0,0,118,0,6,0,112,6,0,0,388,0,12,0,376,12,0,0,891,0,22,2,867,22,0,0,489,0,8,0,481,8,0,0,2,12,1,0,1,8,0,0,2,1,2,1,1,2,6,1,1,1,2,2,2,0,0,0,Normal
2021-11-05,Friday,5,44,11,Post_Monsoon,0,0,0,0,0,0,0,10.9,23.2,14.8,52.8,,0,0,0,79,14,5,8,6,106,135.0,124.0,120.0,119.14,9.78,108.0,116.86,None,0,5,2,4,3,0,3,2,0,0,1,3,5,0,0,28,14,4,2,12,14,0,14,10,1,0,2,7,1,0,1,28,7,4,1,20,7,0,7,0,204,0,10,0,194,10,0,1,362,250,5,1,356,5,0,0,376,0,10,0,366,10,0,0,867,0,18,2,847,18,0,0,481,0,7,0,474,7,0,0,2,8,0,0,1,8,0,0,2,1,1,1,1,2,5,1,1,1,1,1,4,0,0,0,Normal
2021-11-06,Saturday,6,44,11,Post_Monsoon,1,0,0,0,0,0,0,0.0,22.3,15.7,55.4,,0,0,0,66,16,7,9,6,98,106.0,135.0,118.0,117.14,10.78,119.0,116.71,None,0,2,9,4,1,2,2,3,1,1,3,5,4,1,1,28,13,4,1,14,13,0,13,10,2,0,1,7,2,0,2,28,7,2,0,21,7,0,7,0,194,0,11,0,183,11,0,0,356,0,5,1,350,5,0,0,366,0,9,0,357,9,0,0,847,0,18,2,827,18,0,0,474,0,10,0,464,10,0,0,2,12,1,0,1,8,0,0,2,1,1,1,1,2,5,1,1,1,1,1,2,0,0,1,Watch
